FID,REPORTDATE,BLOCKADD,OFFENSE
245,2010-01-31 00:00:00,2300 Block Pearl St,Vandalism
246,2009-08-26 00:00:00,19th St & Walnut St,Theft From Vehicle
247,2008-08-29 00:00:00,6500 Block Lookout Rd,Trespassing
248,2009-07-10 00:00:00,3200 Block Prairie Ave,Theft From Vehicle
249,2010-06-01 00:00:00,2000 Block Pearl St,Vandalism
250,2008-05-25 00:00:00,00 Block S Boulder Cir,Theft From Vehicle
251,2010-07-01 00:00:00,13th St & Canyon Blvd,Incident
252,2010-04-22 00:00:00,1100 Block Balsam Ave,Trespassing
253,2008-11-04 00:00:00,800 Block 7th St,Theft From Vehicle
254,2009-11-23 00:00:00,2800 Block 28th St,Sex Assault
255,2010-02-08 00:00:00,2200 Block Norwood Ave,Vandalism
256,2008-05-30 00:00:00,600 Block S Lashley Ln,Theft From Vehicle
257,2008-06-06 00:00:00,200 Block Iroquois Dr,Burglary
258,2009-02-06 00:00:00,400 Block Pine St,Vandalism
259,2009-12-13 00:00:00,10th St & Pennsylvania Ave,Assault
260,2008-10-16 00:00:00,300 Block S 38th St,Auto Theft
261,2010-03-24 00:00:00,4500 Block Baseline Rd,Sex Assault
262,2009-10-04 00:00:00,1700 Block 15th St,Vandalism
263,2012-12-30 00:00:00,4300 Block Butler Cir,Theft From Vehicle
264,2011-11-12 00:00:00,8th St & Marine St,Vandalism
265,2008-09-22 00:00:00,700 Block 16th St,Vandalism
266,2010-07-07 00:00:00,6200 Block Longbow Dr,Incident
267,2011-12-04 00:00:00,00 Block Pima Ct,Vandalism
268,2011-06-19 00:00:00,3000 Block Oneal Pkwy,Theft From Vehicle
269,2008-06-17 00:00:00,26th St & Spruce St,Incident
270,2009-09-10 00:00:00,500 Block Mohawk Dr,Trespassing
271,2009-07-22 00:00:00,1700 Block 29th St,Theft From Vehicle
272,2010-05-01 00:00:00,10th St & Pleasant St,Incident
273,2012-03-17 00:00:00,1300 Block Broadway,Vandalism
274,2009-01-15 00:00:00,4900 Block Thunderbird Cr,Burglary
275,2008-05-09 00:00:00,1400 Block S Broadway,Vandalism
276,2008-02-27 00:00:00,1100 Block 12th St,Vandalism
277,2008-03-05 00:00:00,1700 Block 29th St,Theft From Vehicle
278,2009-11-17 00:00:00,1700 Block 30th St,Vandalism
279,2008-06-28 00:00:00,3800 Block Talisman Pl,Trespassing
280,2010-04-26 00:00:00,1700 Block Broadway,Trespassing
281,2010-03-04 00:00:00,00 Block Pawnee Dr,Vandalism
282,2012-07-16 00:00:00,700 Block Walnut St,Burglary
283,2010-05-14 00:00:00,1700 Block 17th St,Sex Assault
284,2008-12-10 00:00:00,800 Block 33rd St,Theft From Vehicle
285,2008-09-22 00:00:00,3300 Block Oneal Cr,Theft From Vehicle
286,2011-02-19 00:00:00,1000 Block University Ave,Vandalism
287,2008-12-14 00:00:00,1700 Block 29th St,Trespassing
